POT_MW,ALT_TOTAL,ALT_TORRE,DIAM_ROTOR,DATA_ATUALIZACAO,EOL_VERSAO_ID,NOME_EOL,DEN_AEG,X,Y,VERSAO,DATUM_EMP,OPERACAO,FUSO_AG,PROPRIETARIO,ORIGEM,OBJECTID,UF,CEG,latitude,longitude
2.0,138.5,90.0,97.0,2022-10-24 15:37:27,30830,Porto Salgado,B-05,196028.0,9687016.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Porto Salgado Energia S.A.,,83,PI,EOLCVPI030830-7-01,-2.8284017789999325,-41.733989159999965
2.1,175.0,120.0,110.0,2022-10-24 15:37:27,32355,Paraíso dos Ventos do Nordeste,PV04,174725.0,9439247.0,Versão Válida,SIRGAS2000,Sim,UTM 25 S (MER -33),Usina de Energia Eólica Paraíso dos Ventos do Nordeste S.A.,,84,RN,EOLCVRN032355-1-01,-5.066518866999957,-35.93328308699995
2.0,145.0,100.0,90.0,2022-10-24 15:37:27,30844,Minuano I,UG9,276715.0,6264551.1,Versão Válida,SIRGAS2000,Sim,UTM 22 S (MER -51),Eólica Chuí VI S.A.,,85,RS,EOLCVRS030844-7-01,-33.73559457199997,-53.41015231499995
2.7,150.0,89.0,122.0,2022-10-24 15:37:27,31406,Taboquinha,TBQ - 02,748019.0,8461472.0,Versão Válida,SIRGAS2000,Sim,UTM 23 S (MER -45),Centrais Eólicas Taboquinha S.A.,,86,BA,EOLCVBA031406-4-01,-13.906029313999966,-42.70480824599997
1.85,121.25,80.0,82.5,2022-10-24 15:37:27,30732,Angical,ANG-020,757931.0,8412135.0,Versão Válida,WGS84,Sim,UTM 23 S (MER -45),Central Eólica Angical S.A.,,87,BA,EOLCVBA030732-7-01,-14.350859679999928,-42.608485617999975
3.15,182.5,120.0,125.0,2021-05-21 17:37:21,33020,Ventos de Santa Ângela 16,VSA16-08,217219.0,9030520.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Enel Green Power Ventos de Santa Ângela ACL 16 S.A.,,88,PI,EOLCVPI033020-5-01,-8.761761424999975,-41.57026002199996
2.35,130.0,80.0,100.0,2022-10-24 15:37:27,30789,Tacaicó,AEG7,604542.0,9001496.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Enel Green Power Tacaicó Eólica S.A.,,89,PE,EOLCVPE030789-0-01,-9.03179881699998,-38.048833068999954
1.5,123.5,85.0,77.0,2022-10-24 15:37:27,30369,Quixaba,AEG 12,645742.979608,9494309.07979,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Central Eólica Quixaba S.A,,90,CE,EOLCVCE030369-0-01,-4.573841251999966,-37.68620266499994
1.5,141.45,100.0,82.9,2022-10-24 15:37:27,30296,Barra dos Coqueiros,WT 17,727267.0,8804067.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Energen Energias Renováveis S.A.,,91,SE,EOLCVSE030296-1-01,-10.811702700999945,-36.92137086099996
2.7,150.0,89.0,122.0,2022-10-24 15:37:27,30872,Riachão VI,AEG 8,228433.0,9387057.0,Versão Válida,SIRGAS2000,Sim,UTM 25 S (MER -33),Central Eólica Apeliotes Ltda,,92,RN,EOLCVRN030872-2-01,-5.540238286999966,-35.45114253899993
